Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;gross margin percentage;gross income;Rating
750-67-8428;A;Yangon;Member;Female;Health and beauty;$74.69;0.67;0.09;5489715.0;05/01/2019;13:08:00;Ewallet;4.761.904.762;0.58;0.85
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;$15.28;0.44;0.09;80.22;08/03/2019;10:29:00;Cash;4.761.904.762;0.0;0.93
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;$46.33;0.67;0.36;3405255.0;03/03/2019;13:23:00;Credit card;4.761.904.762;0.36;0.57
123-19-1176;A;Yangon;Member;Male;Health and beauty;$58.22;0.78;0.05;489048.0;27/01/2019;20:33:00;Ewallet;4.761.904.762;0.05;0.73
373-73-7910;A;Yangon;Normal;Male;Sports and travel;$86.31;0.67;0.67;6343785.0;08/02/2019;10:37:00;Ewallet;4.761.904.762;0.67;0.22
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;$85.39;0.67;0.67;6276165.0;25/03/2019;18:30:00;Ewallet;4.761.904.762;0.67;0.02
355-53-5943;A;Yangon;Member;Female;Electronic accessories;$68.84;0.56;0.05;433692.0;25/02/2019;14:36:00;Ewallet;4.761.904.762;0.05;0.3
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;$73.56;1.0;0.0;872085.205885886;24/02/2019;11:38:00;Ewallet;4.761.904.762;0.0;0.67
665-32-9167;A;Yangon;Member;Female;Health and beauty;$36.26;0.11;0.01;76146.0;10/01/2019;17:15:00;Credit card;4.761.904.762;0.01;0.53
692-92-5582;B;Mandalay;Member;Female;Food and beverages;$54.84;0.22;0.02;172746.0;20/02/2019;13:27:00;Credit card;4.761.904.762;0.02;0.32
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;$14.48;0.33;0.01;60816.0;06/02/2019;18:07:00;Ewallet;4.761.904.762;0.01;0.08
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;$25.51;0.33;0.01;107142.0;09/03/2019;17:03:00;Cash;4.761.904.762;0.01;0.47
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;$46.95;0.44;0.26;2464875.0;12/02/2019;10:25:00;Ewallet;4.761.904.762;0.26;0.52
252-56-2699;A;Yangon;Normal;Male;Food and beverages;$43.19;1.0;0.05;453495.0;07/02/2019;16:48:00;Ewallet;4.761.904.762;0.05;0.7
829-34-3910;A;Yangon;Normal;Female;Health and beauty;$71.38;1.0;0.0;749.49;29/03/2019;19:21:00;Cash;4.761.904.762;0.0;0.28
299-46-1805;B;Mandalay;Member;Female;Sports and travel;$93.72;0.56;0.06;590436.0;15/01/2019;16:19:00;Cash;4.761.904.762;0.06;0.08
656-95-9349;A;Yangon;Member;Female;Health and beauty;$68.93;0.67;0.54;5066355.0;11/03/2019;11:03:00;Credit card;4.761.904.762;0.54;0.1
